chrom	start	end	geneid	genename
1	66999824	67210768	NM_032291	SGIP1
1	33546713	33585995	NM_052998	ADC
1	16767166	16786584	NM_001145278	NECAP2
1	16767166	16786584	NM_001145277	NECAP2
1	8384389	8404227	NM_001080397	SLC45A1
1	16767166	16786584	NM_018090	NECAP2
1	25071759	25170815	NM_013943	CLIC4
1	48998526	50489626	NM_032785	AGBL4
1	92145899	92371559	NM_001195684	TGFBR3
1	92145899	92351836	NM_001195683	TGFBR3
1	92145899	92351836	NR_036634	TGFBR3
1	100652477	100715409	NM_001918	DBT
1	92145899	92351836	NM_003243	TGFBR3
1	184356149	184598155	NM_030806	C1orf21
1	175913966	176176370	NM_022457	RFWD2
1	175913966	176176370	NM_001001740	RFWD2
1	150980972	151008189	NM_021222	PRUNE
1	226418860	226497198	NM_173083	LIN9
1	2005085	2116834	NM_001033581	PRKCZ
1	1981908	2116834	NM_002744	PRKCZ
1	6281252	6296044	NM_012405	ICMT
1	2005424	2116834	NM_001242874	PRKCZ
1	6845383	7829766	NM_015215	CAMTA1
1	2985741	3355185	NM_022114	PRDM16
1	1017197	1051736	NM_017891	C1orf159
1	2036154	2116834	NM_001033582	PRKCZ
1	2985741	3355185	NM_199454	PRDM16
1	23037330	23241823	NM_017449	EPHB2
1	22004791	22109688	NM_032236	USP48
1	20959947	20978004	NM_032409	PINK1
1	23037330	23241823	NM_004442	EPHB2
1	28296854	28415148	NM_001990	EYA3
1	26210676	26232993	NM_001145454	STMN1
1	31404352	31538564	NM_001020658	PUM1
1	32479490	32509472	NM_006559	KHDRBS1
1	27248212	27273362	NM_006600	NUDC
1	29213602	29446558	NM_004437	EPB41
1	31404352	31538564	NM_014676	PUM1
1	29213602	29446558	NM_001166007	EPB41
1	29241087	29391733	NM_001166006	EPB41
1	29213602	29446558	NM_001166005	EPB41
1	29213602	29446558	NM_203342	EPB41
1	29213602	29446558	NM_203343	EPB41
1	36690016	36770957	NM_005119	THRAP3
1	39547088	39952810	NM_012090	MACF1
1	33979608	34631443	NM_052896	CSMD2
1	35649200	35658743	NM_005066	SFPQ
1	44870959	45117396	NM_018150	RNF220
1	43996546	44089343	NM_002840	PTPRF
1	46092975	46152302	NM_021639	GPBP1L1
1	48226199	48462562	NM_001194986	LOC388630
1	43996546	44089343	NM_130440	PTPRF
1	53392900	53517289	NM_001193617	SCP2
1	53392900	53517289	NM_001193599	SCP2
1	50906934	51425936	NM_007051	FAF1
1	54519273	54565416	NM_153035	TCEANC2
1	55532031	55681039	NM_015306	USP24
1	57463578	58716211	NM_021080	DAB1
1	53392900	53517289	NM_001193600	SCP2
1	52373627	52456436	NM_002867	RAB3B
1	53392900	53517289	NM_002979	SCP2
1	64936475	65158741	NM_020925	CACHD1
1	62902382	62917475	NM_003368	USP1
1	61547979	61928460	NM_005595	NFIA
1	63906440	63988944	NM_014288	ITGB3BP
1	63906440	63988944	NM_001206739	ITGB3BP
1	61547979	61928460	NM_001134673	NFIA
1	65991371	66101111	NM_001198689	LEPR
1	65991371	66096095	NM_001198687	LEPR
1	61547533	61928460	NM_001145512	NFIA
1	61542945	61928460	NM_001145511	NFIA
1	65991371	66091917	NM_001198688	LEPR
1	59762624	60228402	NM_001113411	FGGY
1	65886334	66103176	NM_002303	LEPR
1	62901974	62917475	NM_001017416	USP1
1	62901974	62917475	NM_001017415	USP1
1	65886334	66101111	NM_001003679	LEPR
1	59762624	60228402	NM_018291	FGGY
1	65886334	66096095	NM_001003680	LEPR
1	63906440	63988944	NR_045147	ITGB3BP
1	70225857	70589171	NM_020794	LRRC7
1	71868624	72748277	NM_173808	NEGR1
1	77554666	77685132	NM_005482	PIGK
1	76540388	77096669	NM_152996	ST6GALNAC3
1	76540388	77042892	NM_001160011	ST6GALNAC3
1	87012758	87046432	NR_024602	CLCA4
1	85784167	86044046	NM_001134445	DDAH1
1	90098643	90185094	NM_032270	LRRC8C
1	87012758	87046432	NM_012128	CLCA4
1	95393583	95428826	NR_033998	LOC729970
1	94352589	94375012	NM_002061	GCLM
1	93307716	93342707	NM_001252271	FAM69A
1	93307716	93427079	NM_001252269	FAM69A
1	93307716	93427079	NM_001252270	FAM69A
1	93307716	93427079	NM_001006605	FAM69A
1	93298285	93427079	NM_001252273	FAM69A
1	107682628	108024475	NM_001113228	NTNG1
1	107682628	108024475	NM_001113226	NTNG1
1	107682744	108024475	NM_014917	NTNG1
1	113243748	113250025	NM_001042678	RHOC
1	114239823	114301777	NM_006608	PHTF1
1	113243748	113249678	NM_001042679	RHOC
1	111136201	111174096	NM_001204269	KCNA2
1	112162404	112256101	NM_001010935	RAP1A
1	112162404	112256101	NM_002884	RAP1A
1	110091185	110138452	NM_006496	GNAI3
1	113243748	113250025	NM_175744	RHOC
1	118472371	118503049	NM_006784	WDR3
1	120477735	120612317	NM_001200001	NOTCH2
1	120454175	120612317	NM_024408	NOTCH2
1	145727665	145764206	NM_001201326	PDZK1
1	145727665	145764206	NM_001201325	PDZK1
1	149912231	149982686	NM_020205	OTUD7B
1	145727665	145764206	NM_002614	PDZK1
1	144614958	144828810	NM_001037675	NBPF9
1	154127779	154155725	NM_001043352	TPM3
1	154127779	154155725	NM_001043351	TPM3
1	156219014	156252620	NM_015327	SMG5
1	154127779	154155725	NM_153649	TPM3
1	154134289	154164609	NM_152263	TPM3
1	155183615	155197325	NR_002188	GBAP1
1	154127779	154155725	NM_001043353	TPM3
1	165667986	165679199	NR_036683	LOC440700
1	164528596	164821060	NM_002585	PBX1
1	161475204	161489360	NM_001136219	FCGR2A
1	164528596	164821060	NM_001204963	PBX1
1	161475204	161489360	NM_021642	FCGR2A
1	164528596	164821060	NM_001204961	PBX1
1	171810620	172381857	NM_015569	DNM3
